t=2026-01-10T16:52:15+0800 lvl=info msg="no configuration paths supplied"
t=2026-01-10T16:52:15+0800 lvl=info msg="using configuration at default config path" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-10T16:52:15+0800 lvl=info msg="open config file" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-10T22:12:21+0800 lvl=info msg="join connections" obj=join id=4197abd6b4c6 l=[::1]:8000 r=136.158.57.244:8683
t=2026-01-10T22:13:32+0800 lvl=info msg="join connections" obj=join id=38f191e18e19 l=[::1]:8000 r=136.158.57.244:11154
t=2026-01-10T22:15:02+0800 lvl=info msg="join connections" obj=join id=f31422b11671 l=[::1]:8000 r=136.158.57.244:14931
t=2026-01-10T22:28:08+0800 lvl=info msg="join connections" obj=join id=7e7783174943 l=[::1]:8000 r=136.158.57.244:43915
t=2026-01-10T22:28:09+0800 lvl=info msg="join connections" obj=join id=7e0d9cbb4693 l=[::1]:8000 r=136.158.57.244:43915
t=2026-01-10T22:36:18+0800 lvl=info msg="join connections" obj=join id=c78dccd623b8 l=[::1]:8000 r=136.158.57.244:62375
t=2026-01-10T22:36:29+0800 lvl=info msg="join connections" obj=join id=6087d3e54b2e l=[::1]:8000 r=136.158.57.244:62883
t=2026-01-10T22:36:29+0800 lvl=info msg="join connections" obj=join id=5f8051272f07 l=[::1]:8000 r=136.158.57.244:62883
t=2026-01-11T00:02:40+0800 lvl=info msg="join connections" obj=join id=8f7478ca4e4e l=[::1]:8000 r=136.158.57.244:41530
t=2026-01-11T00:02:41+0800 lvl=info msg="join connections" obj=join id=c3ea622409df l=[::1]:8000 r=136.158.57.244:41530
t=2026-01-11T00:03:08+0800 lvl=info msg="join connections" obj=join id=5ee38798d902 l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:03:11+0800 lvl=info msg="join connections" obj=join id=72bdac2dcd93 l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:04:54+0800 lvl=info msg="join connections" obj=join id=1c9d415ca684 l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:05:38+0800 lvl=info msg="join connections" obj=join id=807560a38f72 l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:07:28+0800 lvl=info msg="join connections" obj=join id=d671c8a7df1e l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:07:28+0800 lvl=info msg="join connections" obj=join id=014aaa7acbda l=[::1]:8000 r=136.158.57.244:42344
t=2026-01-11T00:21:47+0800 lvl=info msg="join connections" obj=join id=2f74572e4566 l=[::1]:8000 r=136.158.57.244:10874
t=2026-01-11T00:22:25+0800 lvl=info msg="join connections" obj=join id=0f5947068afa l=[::1]:8000 r=136.158.57.244:12018
t=2026-01-11T00:22:25+0800 lvl=info msg="join connections" obj=join id=e9a4ecbbddc9 l=[::1]:8000 r=136.158.57.244:12018
t=2026-01-11T07:31:38+0800 lvl=info msg="join connections" obj=join id=84efb469e53d l=[::1]:8000 r=136.158.57.244:42487
t=2026-01-11T07:31:39+0800 lvl=info msg="join connections" obj=join id=b0553d296db3 l=[::1]:8000 r=136.158.57.244:42487
t=2026-01-11T07:32:03+0800 lvl=info msg="join connections" obj=join id=87bc2e682795 l=[::1]:8000 r=136.158.57.244:42975
t=2026-01-11T07:32:12+0800 lvl=info msg="join connections" obj=join id=80364981c25a l=[::1]:8000 r=136.158.57.244:42975
t=2026-01-11T07:37:38+0800 lvl=info msg="join connections" obj=join id=10023285989c l=[::1]:8000 r=136.158.57.244:42975
